CODIGO;PAIS;2021-W01;2021-W02;2021-W03;2021-W04;2021-W05;2021-W06;2021-W07;2021-W08;2021-W09;2021-W10;2021-W11;2021-W12;2021-W13;2021-W14;2021-W15;2021-W16;2021-W17;2021-W18;2021-W19;2021-W20;2021-W21;2021-W22;2021-W23;2021-W24;2021-W25;2021-W26;2021-W27;2021-W28;2021-W29;2021-W30;2021-W31;2021-W32;2021-W33;2021-W34;2021-W35;2021-W36;2021-W37;2021-W38;2021-W39;2021-W40;2021-W41;2021-W42;2021-W43;2021-W44;2021-W45;2021-W46;2021-W47;2021-W48;2021-W49;2021-W50;2021-W51;2021-W52
AT;Austria;1962;1959;2009;1950;1868;1759;1722;1669;1590;1752;1694;1660;1778;1665;1698;1692;1700;1660;1607;1524;1492;1609;1565;1605;1655;1511;1471;1460;1584;1535;1461;1630;1624;1576;1555;1632;1584;1581;1676;1607;1636;1727;1896;1946;2063;2120;2158;2209;2133;1938;1854;1864
PL;Poland;11478;10974;11022;10397;9880;9927;10117;9894;10155;10835;11565;12605;13833;13797;12791;11996;11074;10084;9678;8679;8233;8157;8137;8347;8359;7543;7657;7883;7352;7825;7392;7579;7410;7404;7405;8078;7830;8087;8144;8478;8540;8856;9490;9921;10771;12040;12725;13386;13785;13831;13733;13541
PT;Portugal;3830;4614;5039;4811;3967;3389;2860;2531;2350;2137;2107;2054;2128;1994;1964;1913;1892;2041;1906;1836;1989;1878;1942;1982;1849;1946;1946;2051;1952;1975;2055;2082;2119;2080;2070;1988;1913;2026;1999;2121;2131;2038;2174;2130;2416;2462;2552;2725;2615;2491;2586;2529
RO;Romania;6783;6524;6975;6334;6281;5936;5961;5958;6239;6402;6851;7132;7214;7180;7141;6769;6485;5886;5596;5291;4961;4839;4864;4648;5518;4810;4674;4937;4628;4992;4848;4502;4659;4579;4673;5322;5959;6342;7454;9420;10797;11607;11323;10768;8875;7922;6921;6226;5892;5704;5809;5617
SI;Slovenia;603;624;590;528;526;434;427;470;442;442;441;421;438;405;421;457;382;389;401;407;390;411;386;395;379;379;341;333;327;369;330;351;325;327;394;415;403;420;432;412;453;471;467;545;585;587;542;589;528;500;479;493
SK;Slovakia;2089;2125;1995;1971;1987;2081;2009;1963;1869;1784;1677;1584;1467;1333;1309;1253;1166;1133;1126;999;962;1001;1000;1048;1090;968;988;999;896;1027;953;974;1011;893;996;1041;1142;1154;1103;1214;1202;1309;1450;1505;1675;1854;1923;1922;1897;1758;1596;1492
FI;Finland;1104;1130;1204;1159;1103;1056;1160;1133;1091;1050;1090;1021;1053;1056;1033;1055;1009;1068;1116;1009;996;1013;981;1009;1080;1009;1092;1148;1015;1028;1063;1100;1081;1066;1079;1148;1064;1121;1134;1138;1187;1200;1129;1088;1161;1193;1229;1231;1300;1225;1236;1336
SE;Sweden;2306;2289;2243;2066;1851;1859;1834;1804;1656;1803;1681;1714;1668;1703;1657;1688;1616;1675;1657;1546;1510;1509;1508;1467;1490;1485;1533;1557;1514;1588;1477;1584;1540;1557;1568;1604;1650;1621;1664;1599;1638;1679;1674;1773;1716;1726;1679;1761;1873;1850;1881;1974
IS;Iceland;45;57;48;42;42;46;55;46;46;40;42;37;52;40;54;45;47;53;41;41;35;38;45;52;44;45;43;47;38;56;46;47;44;45;36;43;43;32;35;42;43;31;39;50;58;41;43;43;46;61;48;55
LI;Liechtenstein;9;5;7;4;7;5;6;5;5;2;6;2;5;6;5;8;9;5;6;4;5;4;2;4;1;4;9;5;6;4;3;5;4;6;6;4;4;2;8;2;1;9;3;6;3;6;7;8;5;5;5;8
NO;Norway;830;868;860;851;792;813;768;756;705;790;788;769;719;778;751;752;777;695;705;740;728;725;727;685;696;719;770;716;756;744;767;777;789;784;791;786;820;817;806;804;802;846;893;918;953;916;948;969;1047;978;968;929
CH;Switzerland;1906;1791;1762;1610;1439;1410;1299;1312;1281;1287;1225;1271;1244;1259;1253;1252;1275;1219;1259;1191;1208;1217;1111;1201;1191;1189;1171;1184;1218;1166;1168;1316;1254;1240;1336;1339;1344;1308;1320;1248;1311;1336;1375;1315;1428;1510;1589;1711;1789;1707;1581;1633
ME;Montenegro;199;178;194;173;203;205;211;220;220;212;231;184;222;197;186;193;188;154;166;156;110;143;96;136;124;131;137;116;130;147;136;182;167;177;168;176;190;185;184;171;198;166;189;;;;;;;;;
AL;Albania;663;619;697;737;810;887;1048;993;896;803;700;487;629;600;560;536;526;445;425;400;399;406;384;381;470;460;437;397;342;431;453;474;489;454;470;556;622;;;;;;;;;;;;;;;
RS;Serbia;2767;2554;2327;1238;2455;2313;2315;1444;2546;2741;2621;2452;3071;3012;2802;2334;2673;2258;2252;1994;2011;2019;2042;1866;2156;1940;1868;1853;1484;2002;1741;1809;1730;1563;2145;2351;2668;2665;3238;3418;3363;3115;2022;3517;3230;2937;2477;2784;2735;2525;2367;2455
AM;Armenia;519;1276;805;748;701;732;654;560;612;515;615;668;735;724;776;809;815;662;624;577;535;564;518;503;519;;;;;473;442;507;516;536;572;548;582;628;;;;;;;;;;;;;;
